city,2011,2012,2013,2014,2015,2016_gdp,2016 Rank*
"Denver-Aurora-Lakewood, CO",159961,167491,173037,186338,190963,197969,18
"Des Moines-West Des Moines, IA",37999,41511,42304,45384,48243,50246,59
"Detroit-Warren-Dearborn, MI",206172,215614,220277,229327,243114,252691,13
"Dothan, AL",4589,4738,4819,4909,5009,5090,316
"Dover, DE",6092,6112,6314,6652,7098,7216,243
"Dubuque, IA",4525,5232,4979,5259,5462,5482,294
"Duluth, MN-WI",12236,12114,12465,12913,12541,12621,178
"Durham-Chapel Hill, NC",37677,37875,41803,43280,44340,43908,63
"East Stroudsburg, PA",5506,5463,5581,5560,5839,5995,276
"Eau Claire, WI",6655,7147,7194,7578,8093,8237,227
"El Centro, CA",5826,5613,5772,5682,5681,5720,285
"Elizabethtown-Fort Knox, KY",6102,6003,5951,6010,5828,6211,263
"Elkhart-Goshen, IN",9652,10916,11784,12989,14387,15515,154
"Elmira, NY",3284,3352,3357,3388,3393,3320,366
"El Paso, TX",25330,26479,26582,26645,27714,28644,90
"Enid, OK",2721,3006,3256,3555,3202,3123,371
"Erie, PA",10507,10467,10862,10883,11138,11151,189
"Eugene, OR",12635,12919,13289,13626,14669,15393,156
"Evansville, IN-KY",17512,17220,17081,17066,17110,16933,143
"Fairbanks, AK",5368,5500,5178,5344,5405,5400,297
"Fargo, ND-MN",11440,12730,13282,14266,14858,15497,155
"Farmington, NM",7438,7247,7077,7340,6330,5664,288
"Fayetteville, NC",17363,17268,17094,16794,16980,17320,140
"Fayetteville-Springdale-Rogers, AR-MO",19906,20732,22397,23759,25316,26764,97
"Flagstaff, AZ",5052,5012,5201,5307,5573,5797,282
"Flint, MI",11891,12100,12369,12571,13296,13838,164
"Florence, SC",6994,7241,7709,7898,8119,8169,229
"Florence-Muscle Shoals, AL",4260,4520,4502,4679,4816,4939,322
"Fond du Lac, WI",3952,4102,4243,4490,4659,4758,328
"Fort Collins, CO",12245,13004,14119,14310,15062,15923,150
